iter	Passed	Remaining
462	774	898
463	776	896
464	777	894
465	778	892
466	779	889
467	780	887
468	782	886
469	784	884
470	787	883
471	789	883
472	791	881
473	792	879
474	793	876
475	794	875
476	797	874
477	798	872
478	800	870
479	802	869
480	803	867
481	804	864
482	806	862
483	807	861
484	809	859
485	810	857
486	812	855
487	814	854
488	816	853
489	817	851
490	819	849
491	821	847
492	822	845
493	823	843
494	825	841
495	826	840
496	828	838
497	830	837
498	832	835
499	833	833
500	834	831
501	835	829
502	837	827
503	838	825
504	839	823
505	841	821
506	843	819
507	846	819
508	847	817
509	849	816
510	850	813
511	851	811
512	853	809
513	854	807
514	856	806
515	857	804
516	859	803
517	861	801
518	863	799
519	864	797
520	865	795
521	866	793
522	867	791
523	869	789
524	870	787
525	871	785
526	872	783
527	875	782
528	877	780
529	878	778
530	880	777
531	881	775
532	883	773
533	884	771
534	886	770
535	887	768
536	889	766
537	891	765
538	892	763
539	893	761
540	894	759
541	896	757
542	898	756
543	900	754
544	901	752
545	903	751
546	905	750
547	907	748
548	908	746
549	909	744
550	911	742
551	912	740
552	914	739
553	915	737
554	917	735
555	920	735
556	922	733
557	924	732
558	926	730
559	927	729
560	929	727
561	931	725
562	932	724
563	935	723
564	936	721
565	937	719
566	939	717
567	940	715
568	942	713
569	943	711
570	945	710
571	946	708
572	947	706
573	949	704
574	950	702
575	952	700
576	953	698
577	954	696
578	955	695
579	957	693
580	958	691
581	959	689
582	960	687
583	962	685
584	964	684
585	966	682
586	967	680
587	968	678
588	969	676
589	971	674
590	972	672
591	973	671
592	975	669
593	976	667
594	977	665
595	979	664
596	981	662
597	982	660
598	983	658
599	984	656
600	986	654
601	987	652
602	988	650
603	989	648
604	991	647
605	992	645
606	994	643
607	995	642
608	997	640
609	998	638
610	999	636
611	1001	634
612	1002	633
613	1004	631
614	1005	629
615	1007	627
616	1008	626
617	1010	624
618	1012	623
619	1013	621
620	1014	619
621	1016	617
622	1017	615
623	1018	613
624	1019	611
625	1021	610
626	1022	608
627	1024	606
628	1026	605
629	1027	603
630	1028	601
631	1030	599
632	1031	598
633	1032	596
634	1034	594
635	1035	592
636	1036	590
637	1038	589
638	1040	587
639	1042	586
640	1043	584
641	1044	582
642	1045	580
643	1047	578
644	1048	576
645	1049	575
646	1050	573
647	1051	571
648	1053	569
649	1055	568
650	1057	566
651	1058	565
652	1059	563
653	1061	561
654	1062	559
655	1063	557
656	1065	556
657	1066	554
658	1067	552
659	1070	551
660	1072	549
661	1073	548
662	1074	546
663	1076	544
664	1077	542
665	1079	541
666	1080	539
667	1082	537
668	1083	536
669	1086	535
670	1088	533
671	1089	531
672	1091	530
673	1092	528
674	1093	526
675	1094	524
676	1096	523
677	1098	521
678	1100	520
679	1101	518
680	1102	516
681	1103	514
682	1105	512
683	1106	511
684	1107	509
685	1108	507
686	1109	505
687	1111	503
688	1112	502
689	1114	500
690	1116	499
691	1117	497
692	1118	495
693	1119	493
694	1120	491
695	1121	490
696	1123	488
697	1124	486
698	1125	484
699	1126	482
700	1128	481
701	1130	479
702	1131	478
703	1133	476
704	1134	474
705	1135	472
706	1136	470
707	1137	469
708	1138	467
709	1139	465
710	1141	463
711	1142	462
712	1144	460
713	1145	459
714	1147	457
715	1148	455
716	1149	453
717	1150	451
718	1152	450
719	1153	448
720	1154	446
721	1156	445
722	1158	443
723	1160	442
724	1161	440
725	1163	439
726	1164	437
727	1165	435
728	1167	433
729	1168	432
730	1169	430
731	1171	428
732	1172	427
733	1174	425
734	1175	423
735	1176	422
736	1178	420
737	1179	418
738	1180	416
739	1181	415
740	1182	413
741	1184	411
742	1185	410
743	1187	408
744	1189	407
745	1190	405
746	1191	403
747	1192	401
748	1193	400
749	1195	398
750	1196	396
751	1198	395
752	1199	393
753	1200	391
754	1202	390
755	1204	388
756	1205	387
757	1206	385
758	1208	383
759	1209	381
760	1210	380
761	1211	378
762	1212	376
763	1213	374
764	1215	373
765	1216	371
766	1218	370
767	1220	368
768	1221	366
769	1222	365
770	1223	363
771	1225	361
772	1226	360
773	1228	358
774	1230	357
775	1231	355
776	1233	354
777	1236	352
778	1237	351
779	1238	349
780	1239	347
781	1240	345
782	1241	344
783	1243	342
784	1244	340
785	1246	339
786	1247	337
787	1249	336
788	1251	334
789	1252	332
790	1253	331
791	1254	329
792	1255	327
793	1256	326
794	1258	324
795	1260	322
796	1261	321
797	1263	319
798	1265	318
799	1266	316
800	1268	315
801	1269	313
802	1270	311
803	1271	309
804	1273	308
805	1274	306
806	1275	304
807	1276	303
808	1278	301
809	1279	300
810	1281	298
811	1282	296
812	1284	295
813	1285	293
814	1287	292
815	1288	290
816	1290	289
817	1291	287
818	1293	285
819	1295	284
820	1296	282
821	1297	280
822	1298	279
823	1299	277
824	1300	275
825	1302	274
826	1303	272
827	1305	271
828	1307	269
829	1309	268
830	1310	266
831	1311	264
832	1313	263
833	1314	261
834	1315	259
835	1316	258
836	1318	256
837	1319	255
838	1320	253
839	1322	251
840	1324	250
841	1325	248
842	1326	247
843	1327	245
844	1328	243
845	1330	242
846	1331	240
847	1332	238
848	1334	237
849	1335	235
850	1337	234
851	1339	232
852	1341	231
853	1342	229
854	1343	227
855	1344	226
856	1345	224
857	1346	222
858	1348	221
859	1349	219
860	1350	218
861	1353	216
862	1354	215
863	1355	213
864	1356	211
865	1358	210
866	1359	208
867	1360	206
868	1361	205
869	1362	203
870	1364	202
871	1365	200
872	1367	198
873	1368	197
874	1369	195
875	1370	194
876	1372	192
877	1373	190
878	1374	189
879	1375	187
880	1376	185
881	1377	184
882	1379	182
883	1380	181
884	1382	179
885	1383	178
886	1384	176
